Country,Clicks,Impressions,CTR,Position
United States,0,564,0%,54.75
Netherlands,0,40,0%,54.85
United Kingdom,0,34,0%,60.56
Brazil,0,16,0%,41.69
Sweden,0,12,0%,12.75
Spain,0,7,0%,36.71
France,0,6,0%,11.67
India,0,6,0%,35
Germany,0,5,0%,7.6
Canada,0,4,0%,46.75
Switzerland,0,3,0%,7
Denmark,0,3,0%,31.67
Italy,0,3,0%,32
Australia,0,3,0%,76.67
Norway,0,2,0%,7.5
Belgium,0,2,0%,8
Finland,0,2,0%,8.5
Ireland,0,2,0%,9
Luxembourg,0,2,0%,9.5
Russia,0,2,0%,17.5
Mexico,0,2,0%,40.5
South Africa,0,2,0%,75.5
Greece,0,1,0%,2
Åland Islands,0,1,0%,4
Singapore,0,1,0%,8
Czechia,0,1,0%,12
South Korea,0,1,0%,19
Saudi Arabia,0,1,0%,20
Pakistan,0,1,0%,24
Ukraine,0,1,0%,30
Poland,0,1,0%,38
China,0,1,0%,47
Kenya,0,1,0%,61
Belarus,0,1,0%,62
Tunisia,0,1,0%,62
Austria,0,1,0%,66
Ecuador,0,1,0%,75
Malaysia,0,1,0%,77
Argentina,0,1,0%,82
Kazakhstan,0,1,0%,94
Vietnam,0,1,0%,100
