Date,Clicks,Impressions,CTR,Position
2025-09-24,0,10,0%,5.8
2025-09-23,1,5,20%,12.2
2025-09-22,0,23,0%,14.91
2025-09-21,0,24,0%,19.5
2025-09-20,0,7,0%,15.43
2025-09-19,0,9,0%,18.67
2025-09-18,0,14,0%,9.5
2025-09-17,0,10,0%,21.9
2025-09-16,0,22,0%,12.86
2025-09-15,0,8,0%,15.62
2025-09-14,0,3,0%,6
2025-09-13,0,8,0%,32.12
2025-09-12,0,15,0%,29.73
2025-09-11,0,22,0%,36.23
2025-09-10,0,35,0%,43.4
2025-09-09,0,26,0%,37.31
2025-09-08,0,40,0%,42.83
2025-09-07,0,31,0%,43.23
2025-09-06,0,33,0%,47.88
2025-09-05,0,33,0%,44.45
2025-09-04,0,38,0%,39.18
2025-09-03,0,58,0%,30.76
2025-09-02,0,42,0%,34.31
2025-09-01,0,49,0%,36.12
2025-08-31,0,29,0%,38.66
2025-08-30,0,24,0%,45.12
2025-08-29,0,36,0%,38.5
2025-08-28,0,24,0%,37.58
2025-08-27,0,36,0%,30.33
2025-08-26,0,22,0%,39.95
2025-08-25,0,1,0%,48
2025-08-24,0,3,0%,70
2025-08-23,0,13,0%,84.62
2025-08-22,0,4,0%,79
2025-08-21,0,4,0%,71
2025-08-20,0,4,0%,68.25
2025-08-19,0,3,0%,74.33
2025-08-18,0,2,0%,65
2025-08-17,0,6,0%,78
2025-08-16,0,8,0%,79.25
2025-08-15,0,2,0%,62
2025-08-14,0,3,0%,69
2025-08-13,0,3,0%,65.33
2025-08-12,0,3,0%,71.67
2025-08-11,0,2,0%,70
2025-08-10,0,9,0%,76
2025-08-09,0,5,0%,75.4
2025-08-08,0,2,0%,65
2025-08-07,0,2,0%,60.5
2025-08-06,0,7,0%,73.86
2025-08-05,0,2,0%,64
2025-08-04,0,6,0%,74.5
2025-08-03,0,8,0%,82.38
2025-08-02,0,5,0%,73.4
2025-08-01,0,2,0%,63
2025-07-31,0,3,0%,72.33
2025-07-30,0,4,0%,71.5
2025-07-29,0,2,0%,57.5
2025-07-28,0,2,0%,61
2025-07-27,0,5,0%,75.8
2025-07-26,0,4,0%,67.5
2025-07-25,0,5,0%,84.4
2025-07-24,0,3,0%,73
2025-07-23,0,2,0%,63.5
2025-07-22,0,1,0%,39
2025-07-21,0,5,0%,72.2
2025-07-20,0,9,0%,82.67
2025-07-19,0,4,0%,72
2025-07-18,0,4,0%,73.25
2025-07-17,0,3,0%,67.33
2025-07-16,0,3,0%,68.33
2025-07-15,0,3,0%,65.67
2025-07-14,0,4,0%,74.5
2025-07-13,0,5,0%,75.8
2025-07-12,0,4,0%,72.75
2025-07-11,0,3,0%,77.67
2025-07-10,0,2,0%,64
2025-07-09,0,7,0%,46.86
2025-07-08,0,2,0%,65
2025-07-07,0,8,0%,76.12
2025-07-06,0,6,0%,71.33
2025-07-05,0,8,0%,77.12
2025-07-04,0,2,0%,59
2025-07-03,0,2,0%,75
2025-07-02,0,4,0%,67.5
2025-07-01,0,2,0%,65
2025-06-30,0,2,0%,69.5
2025-06-29,0,5,0%,82.2
2025-06-28,0,3,0%,81.67
2025-06-27,0,2,0%,74
2025-06-26,0,5,0%,70.6
2025-06-25,0,2,0%,69
